pm2_5,pm10,co,no2,so2,o3,temp,humidity,pressure,wind_speed,aqi_label
5.17,6.63,250.12,11.56,0.72,4.16,9.34,86,1019,1.79,good
0.5,0.78,131.49,1.29,0.42,84.63,5.19,75,1006,3.6,fair
1.01,2.15,137.25,1.25,0.22,78.94,6.14,70,1006,4.63,fair
1.96,3.3,149.2,1.91,0.71,73.77,7.25,57,1004,4.0,fair
21.34,74.91,147.5,6.41,13.3,91.55,23.42,23,1010,6.17,moderate
28.09,67.89,138.7,3.25,7.94,86.68,18.9,68,1012,4.12,moderate
21.34,74.91,147.5,6.41,13.3,91.55,23.42,24,1010,5.01,moderate
8.74,55.58,116.5,0.17,0.26,93.47,14.98,88,1017,4.12,moderate
5.34,25.67,108.86,0.2,0.52,84.23,18.01,77,1016,9.26,fair
5.94,34.17,115.43,0.18,0.41,90.72,17.57,77,1016,7.67,fair
6.91,11.73,143.33,0.53,0.1,55.33,17.45,59,1013,1.55,good
7.78,16.31,124.56,0.23,0.06,54.58,25.41,48,1010,1.14,good
10.22,24.84,137.11,0.22,0.05,51.93,31.59,16,1007,2.93,fair
1.84,2.89,105.98,1.8,0.04,42.29,12.95,81,1017,2.06,good
4.31,10.72,127.39,0.49,0.53,114.16,13.96,68,1020,4.63,moderate
2.52,4.95,128.91,2.09,0.15,80.56,17.03,69,1018,2.24,fair
21.01,34.02,664.5,3.38,0.78,31.88,16.49,77,1013,4.12,fair
1.42,4.07,102.12,0.67,0.11,16.66,23.99,55,1012,5.93,good
7.86,13.08,241.29,0.69,0.18,50.55,16.4,69,1014,0.84,good
0.66,1.23,136.04,1.97,0.8,82.38,7.67,56,1005,4.47,fair
0.56,1.01,134.19,1.77,0.71,83.01,7.95,58,1004,4.47,fair
0.5,0.71,134.34,0.76,0.22,89.76,6.49,48,1007,5.14,fair
2.66,9.3,66.53,0.04,0.11,29.74,26.94,89,1014,2.57,good
2.66,9.3,66.53,0.04,0.11,29.74,26.99,89,1014,2.57,good
2.22,5.2,65.77,0.05,0.1,22.8,27.83,78,1013,2.06,good
14.38,15.7,161.21,5.64,1.21,69.04,11.2,53,1023,3.6,fair
3.83,7.37,138.56,1.09,1.38,123.12,17.65,61,1019,1.93,moderate
8.2,9.81,155.01,4.01,0.65,57.87,11.53,69,1020,1.34,good
1.32,1.72,78.54,0.3,0.14,20.83,24.01,94,1011,3.09,good
1.82,2.57,79.64,0.07,0.04,32.43,23.98,94,1010,2.57,good
0.76,0.83,44.82,0.04,0.01,1.64,21.25,100,1011,0.63,good
13.03,16.63,141.81,7.07,3.81,84.16,6.35,85,1027,3.09,fair
6.45,8.49,142.56,10.77,2.55,65.31,3.41,91,1028,2.06,fair
15.25,16.66,139.7,4.99,1.57,65.41,6.55,80,1027,0.49,fair
4.03,12.68,107.37,0.7,1.14,106.65,6.08,75,1014,11.32,moderate
2.66,3.75,107.54,2.37,1.07,84.11,6.99,81,1016,9.77,fair
2.7,3.25,130.74,4.22,0.95,83.16,5.33,88,1017,1.64,fair
0.53,0.53,70.62,0.05,0.0,2.94,23.99,94,1011,0.0,good
0.53,0.53,70.62,0.05,0.0,2.94,23.99,94,1011,0.0,good
0.5,0.5,66.13,0.05,0.01,2.19,22.24,100,1011,0.64,good
10.75,12.63,151.02,3.82,1.18,84.25,12.61,71,1022,6.17,fair
0.87,1.83,107.48,0.39,0.07,15.3,25.04,86,1010,3.22,good
1.06,3.16,89.83,0.37,0.88,27.1,28.15,89,1009,5.14,good
1.96,2.84,153.96,1.07,0.12,18.86,28.58,67,1008,5.5,good
2.13,6.4,117.76,3.45,0.84,70.03,15.56,96,1016,0.51,fair
8.03,27.19,123.73,1.65,2.54,75.33,20.08,83,1011,2.57,fair
8.16,27.63,121.78,1.65,2.54,75.37,20.02,83,1010,2.57,fair
8.03,27.19,123.73,1.65,2.54,75.33,20.01,83,1011,2.57,fair
11.83,46.34,113.18,0.73,1.13,79.29,24.04,94,1010,2.06,fair
