temp,humidity,wind,pressure,pm2_5,pm10,co,no2,o3,so2,nh3,aqi
23.42,23,6.17,1010,21.34,74.91,147.5,6.41,91.55,13.3,31.61,3
18.9,68,4.12,1012,28.09,67.89,138.7,3.25,86.68,7.94,8.61,3
23.42,24,5.01,1010,21.34,74.91,147.5,6.41,91.55,13.3,31.61,3
14.98,88,4.12,1017,8.74,55.58,116.5,0.17,93.47,0.26,0.07,3
18.01,77,9.26,1016,5.34,25.67,108.86,0.2,84.23,0.52,0.0,2
17.57,77,7.67,1016,5.94,34.17,115.43,0.18,90.72,0.41,0.0,2
17.45,59,1.55,1013,6.91,11.73,143.33,0.53,55.33,0.1,3.55,1
25.41,48,1.14,1010,7.78,16.31,124.56,0.23,54.58,0.06,2.44,1
31.59,16,2.93,1007,10.22,24.84,137.11,0.22,51.93,0.05,1.09,2
12.95,81,2.06,1017,1.84,2.89,105.98,1.8,42.29,0.04,3.05,1
13.96,68,4.63,1020,4.31,10.72,127.39,0.49,114.16,0.53,0.8,3
17.03,69,2.24,1018,2.52,4.95,128.91,2.09,80.56,0.15,0.98,2
16.49,77,4.12,1013,21.01,34.02,664.5,3.38,31.88,0.78,12.02,2
23.99,55,5.93,1012,1.42,4.07,102.12,0.67,16.66,0.11,6.88,1
16.4,69,0.84,1014,7.86,13.08,241.29,0.69,50.55,0.18,3.2,1
7.67,56,4.47,1005,0.66,1.23,136.04,1.97,82.38,0.8,0.34,2
7.95,58,4.47,1004,0.56,1.01,134.19,1.77,83.01,0.71,0.28,2
6.49,48,5.14,1007,0.5,0.71,134.34,0.76,89.76,0.22,1.14,2
26.94,89,2.57,1014,2.66,9.3,66.53,0.04,29.74,0.11,0.0,1
26.99,89,2.57,1014,2.66,9.3,66.53,0.04,29.74,0.11,0.0,1
27.83,78,2.06,1013,2.22,5.2,65.77,0.05,22.8,0.1,0.0,1
11.2,53,3.6,1023,14.38,15.7,161.21,5.64,69.04,1.21,13.76,2
17.65,61,1.93,1019,3.83,7.37,138.56,1.09,123.12,1.38,1.06,3
11.53,69,1.34,1020,8.2,9.81,155.01,4.01,57.87,0.65,18.56,1
24.01,94,3.09,1011,1.32,1.72,78.54,0.3,20.83,0.14,0.08,1
23.98,94,2.57,1010,1.82,2.57,79.64,0.07,32.43,0.04,0.0,1
21.25,100,0.63,1011,0.76,0.83,44.82,0.04,1.64,0.01,0.02,1
6.35,85,3.09,1027,13.03,16.63,141.81,7.07,84.16,3.81,1.71,2
3.41,91,2.06,1028,6.45,8.49,142.56,10.77,65.31,2.55,5.09,2
6.55,80,0.49,1027,15.25,16.66,139.7,4.99,65.41,1.57,3.47,2
6.08,75,11.32,1014,4.03,12.68,107.37,0.7,106.65,1.14,2.16,3
6.99,81,9.77,1016,2.66,3.75,107.54,2.37,84.11,1.07,7.77,2
5.33,88,1.64,1017,2.7,3.25,130.74,4.22,83.16,0.95,5.82,2
23.99,94,0.0,1011,0.53,0.53,70.62,0.05,2.94,0.0,0.02,1
23.99,94,0.0,1011,0.53,0.53,70.62,0.05,2.94,0.0,0.02,1
22.24,100,0.64,1011,0.5,0.5,66.13,0.05,2.19,0.01,0.01,1
12.61,71,6.17,1022,10.75,12.63,151.02,3.82,84.25,1.18,15.4,2
25.04,86,3.22,1010,0.87,1.83,107.48,0.39,15.3,0.07,0.11,1
28.15,89,5.14,1009,1.06,3.16,89.83,0.37,27.1,0.88,0.11,1
28.58,67,5.5,1008,1.96,2.84,153.96,1.07,18.86,0.12,0.67,1
15.56,96,0.51,1016,2.13,6.4,117.76,3.45,70.03,0.84,0.97,2
20.08,83,2.57,1011,8.03,27.19,123.73,1.65,75.33,2.54,0.08,2
20.02,83,2.57,1010,8.16,27.63,121.78,1.65,75.37,2.54,0.04,2
20.01,83,2.57,1011,8.03,27.19,123.73,1.65,75.33,2.54,0.08,2
24.04,94,2.06,1010,11.83,46.34,113.18,0.73,79.29,1.13,0.0,2
24.05,94,2.06,1010,11.83,46.34,113.18,0.73,79.29,1.13,0.0,2
22.52,94,1.45,1010,16.19,40.5,135.15,0.52,24.17,0.15,0.12,2
22.82,94,0.51,1012,0.62,1.83,99.08,0.61,42.7,0.41,0.0,1
22.94,94,0.51,1012,0.62,1.83,99.08,0.61,42.7,0.41,0.0,1
23.02,94,0.51,1012,0.62,1.83,99.08,0.61,42.7,0.41,0.0,1
26.03,81,1.78,1010,2.25,3.58,115.6,1.32,20.85,0.39,0.04,1
26.92,84,1.77,1011,0.5,0.69,79.54,0.06,28.49,0.02,0.01,1
21.72,96,1.19,1012,0.95,1.13,70.96,0.11,3.38,0.02,0.03,1
15.73,55,4.12,1014,1.02,2.06,128.85,1.12,90.12,1.1,0.62,2
14.3,69,2.57,1015,6.94,7.61,135.16,1.48,77.31,6.31,15.52,2
15.48,58,5.21,1014,2.55,3.33,134.45,0.71,101.76,1.13,0.5,3
16.77,96,4.02,1015,19.9,21.12,185.0,0.69,52.69,3.1,1.54,2
17.77,96,3.58,1015,14.99,15.95,161.21,0.44,53.27,1.62,0.84,2
14.24,96,2.06,1015,17.01,18.15,170.83,0.54,53.18,2.42,1.1,2
29.8,63,5.66,1012,4.69,21.0,115.94,0.05,30.35,0.19,0.0,2
29.52,63,5.66,1012,4.69,21.0,115.94,0.05,30.35,0.19,0.0,2
30.3,63,5.66,1012,4.79,21.74,116.22,0.06,30.51,0.2,0.0,2
22.06,68,2.57,1010,9.79,32.9,131.23,0.73,77.27,1.64,0.05,2
22.76,44,1.23,1010,12.15,31.85,151.72,0.79,53.53,0.42,0.5,2
23.93,41,0.31,1010,10.0,29.41,142.31,0.65,69.83,0.82,0.4,2
24.17,95,1.83,1011,2.03,2.1,93.15,0.4,2.63,0.06,0.06,1
22.48,99,0.73,1011,1.13,1.14,80.05,0.2,3.68,0.01,0.06,1
22.68,99,1.17,1010,1.0,1.03,95.75,0.3,3.49,0.03,0.11,1
20.07,90,4.02,1011,28.24,30.97,410.21,41.03,27.73,17.88,0.0,3
20.27,89,4.02,1012,28.24,30.97,410.21,41.03,27.73,17.88,0.0,3
19.63,87,2.06,1012,30.06,32.53,429.83,44.94,26.06,17.09,0.01,3
20.25,82,1.54,1017,19.91,21.31,180.32,2.31,50.41,5.05,9.91,2
24.69,88,0.0,1012,15.3,19.76,438.73,9.62,29.81,2.34,54.27,2
23.9,88,1.03,1012,12.75,17.9,346.88,6.9,24.52,0.44,5.88,2
14.94,49,2.06,1019,10.48,11.73,139.97,2.85,85.62,0.77,5.1,2
17.06,31,4.63,1017,6.66,9.4,141.8,1.65,127.0,1.73,2.68,3
15.51,47,1.03,1018,8.97,10.66,161.2,4.24,100.5,1.81,4.6,3
23.57,85,1.21,1013,0.84,2.66,102.59,0.14,55.48,0.1,0.01,1
23.28,85,1.19,1013,0.84,2.66,102.59,0.14,55.48,0.1,0.01,1
24.44,84,4.98,1012,3.88,5.12,169.83,0.81,69.28,0.22,2.01,2
13.54,56,6.17,1016,9.68,11.56,142.24,1.88,93.19,1.62,9.68,2
13.88,44,3.09,1015,9.1,11.94,144.71,1.77,59.96,0.64,15.18,1
12.25,59,2.5,1016,8.1,9.88,139.07,2.16,81.79,0.8,10.65,2
33.96,49,5.14,1007,60.09,63.43,677.2,1.49,131.96,1.78,1.76,4
31.12,77,4.63,1007,86.74,98.1,699.32,4.87,180.34,5.52,3.49,5
